Year,Operating Airline,GEO Region,Passenger Count
2005,United Airlines - Pre 07/01/2013,Asia,827677
2005,United Airlines - Pre 07/01/2013,Europe,324650
2005,Air Canada,Canada,308746
2006,United Airlines - Pre 07/01/2013,Asia,1681395
2006,Air Canada,Canada,603478
2006,United Airlines - Pre 07/01/2013,Europe,584225
2007,United Airlines - Pre 07/01/2013,Asia,1798908
2007,United Airlines - Pre 07/01/2013,Europe,704128
2007,Air Canada,Canada,625235
2008,United Airlines - Pre 07/01/2013,Asia,1675922
2008,United Airlines - Pre 07/01/2013,Europe,713050
2008,Air Canada,Canada,559857
2009,United Airlines - Pre 07/01/2013,Asia,1388642
2009,United Airlines - Pre 07/01/2013,Europe,617490
2009,Air Canada,Canada,545460
2010,United Airlines - Pre 07/01/2013,Asia,1559229
2010,United Airlines - Pre 07/01/2013,Europe,590452
2010,Air Canada,Canada,561517
2011,United Airlines - Pre 07/01/2013,Asia,1558438
2011,United Airlines - Pre 07/01/2013,Europe,618151
2011,Air Canada,Canada,579553
2012,United Airlines - Pre 07/01/2013,Asia,1616000
2012,United Airlines - Pre 07/01/2013,Europe,602177
2012,Air Canada,Canada,561874
2013,United Airlines,Asia,744675
2013,United Airlines - Pre 07/01/2013,Asia,709961
2013,Air Canada,Canada,613528
2014,United Airlines,Asia,1652840
2014,United Airlines,Europe,750373
2014,Air Canada,Canada,731007
2015,United Airlines,Asia,1699442
2015,Air Canada,Canada,827660
2015,United Airlines,Europe,734252
2016,United Airlines,Asia,1790655
2016,Air Canada,Canada,892548
2016,United Airlines,Europe,720614
2017,United Airlines,Asia,1935748
2017,Air Canada,Canada,928932
2017,United Airlines,Europe,767161
2018,United Airlines,Asia,1842773
2018,Air Canada,Canada,993668
2018,United Airlines,Europe,924527
2019,United Airlines,Asia,2025170
2019,United Airlines,Europe,1154133
2019,Air Canada,Canada,922414
2020,United Airlines,Asia,453316
2020,United Airlines,Mexico,209267
2020,United Airlines,Europe,206963
2021,United Airlines,Mexico,409155
2021,United Airlines,Asia,384679
2021,United Airlines,Europe,226503
2022,United Airlines,Europe,1080121
2022,Air Canada,Canada,801555
2022,United Airlines,Asia,768364
