Year,Operating Airline,GEO Region,Passenger Count
2005,United Airlines - Pre 07/01/2013,US,5531930
2005,American Airlines,US,1719412
2005,SkyWest Airlines,US,1242993
2006,United Airlines - Pre 07/01/2013,US,10867975
2006,American Airlines,US,3302046
2006,SkyWest Airlines,US,2469041
2007,United Airlines - Pre 07/01/2013,US,10920483
2007,American Airlines,US,3446573
2007,SkyWest Airlines,US,2408371
2008,United Airlines - Pre 07/01/2013,US,10214275
2008,American Airlines,US,3337073
2008,SkyWest Airlines,US,2228941
2009,United Airlines - Pre 07/01/2013,US,9635364
2009,American Airlines,US,3237381
2009,Southwest Airlines,US,2847732
2010,United Airlines - Pre 07/01/2013,US,10000633
2010,American Airlines,US,3222254
2010,SkyWest Airlines,US,2958710
2011,United Airlines - Pre 07/01/2013,US,10122140
2011,SkyWest Airlines,US,3483088
2011,American Airlines,US,3083430
2012,United Airlines - Pre 07/01/2013,US,10026799
2012,SkyWest Airlines,US,3920723
2012,Virgin America,US,3778520
2013,United Airlines,US,10128437
2013,United Airlines - Pre 07/01/2013,US,3833162
2013,Virgin America,US,3720310
2014,United Airlines,US,14682120
2014,Virgin America,US,3884239
2014,SkyWest Airlines,US,3383585
2015,United Airlines,US,14757970
2015,Virgin America,US,4069845
2015,SkyWest Airlines,US,3786205
2016,United Airlines,US,15710850
2016,Virgin America,US,4793557
2016,American Airlines,US,4396696
2017,United Airlines,US,17594110
2017,Virgin America,US,5149434
2017,SkyWest Airlines,US,3767859
2018,United Airlines,US,18229780
2018,Alaska Airlines,US,4794312
2018,Delta Air Lines,US,4114808
2019,United Airlines,US,17641210
2019,Alaska Airlines,US,5671307
2019,Delta Air Lines,US,4431211
2020,United Airlines,US,5010091
2020,SkyWest Airlines,US,2252262
2020,American Airlines,US,1384010
2021,United Airlines,US,8144160
2021,SkyWest Airlines,US,3336822
2021,American Airlines,US,2326420
2022,United Airlines,US,14288005
2022,SkyWest Airlines,US,3998410
2022,Alaska Airlines,US,3415707
