Operating Airline,GEO Summary,GEO Region,Activity Type Code,Passenger Count,Year,Month
ATA Airlines,Domestic,US,Deplaned,27271,2005,7
ATA Airlines,Domestic,US,Enplaned,29131,2005,7
ATA Airlines,Domestic,US,Thru / Transit,5415,2005,7
Air Canada,International,Canada,Deplaned,35156,2005,7
Air Canada,International,Canada,Enplaned,34090,2005,7
Air China,International,Asia,Deplaned,6263,2005,7
Air China,International,Asia,Enplaned,5500,2005,7
Air France,International,Europe,Deplaned,12050,2005,7
Air France,International,Europe,Enplaned,11638,2005,7
Air New Zealand,International,Australia / Oceania,Deplaned,4998,2005,7
Air New Zealand,International,Australia / Oceania,Enplaned,4962,2005,7
AirTran Airways,Domestic,US,Deplaned,8055,2005,7
AirTran Airways,Domestic,US,Enplaned,7984,2005,7
Alaska Airlines,Domestic,US,Deplaned,36641,2005,7
Alaska Airlines,Domestic,US,Enplaned,39379,2005,7
Alaska Airlines,Domestic,US,Thru / Transit,3678,2005,7
Alaska Airlines,International,Canada,Deplaned,7977,2005,7
Alaska Airlines,International,Canada,Enplaned,8837,2005,7
Alaska Airlines,International,Mexico,Deplaned,6969,2005,7
Alaska Airlines,International,Mexico,Enplaned,10046,2005,7
Alaska Airlines,International,Mexico,Thru / Transit,2266,2005,7
All Nippon Airways,International,Asia,Deplaned,6545,2005,7
All Nippon Airways,International,Asia,Enplaned,6094,2005,7
American Airlines,Domestic,US,Deplaned,166577,2005,7
American Airlines,Domestic,US,Enplaned,160890,2005,7
American Eagle Airlines,Domestic,US,Deplaned,5493,2005,7
American Eagle Airlines,Domestic,US,Enplaned,5213,2005,7
Asiana Airlines,International,Asia,Deplaned,5041,2005,7
Asiana Airlines,International,Asia,Enplaned,4744,2005,7
Atlantic Southeast Airlines,Domestic,US,Deplaned,1552,2005,7
Atlantic Southeast Airlines,Domestic,US,Enplaned,1484,2005,7
BelAir Airlines,International,Europe,Deplaned,325,2005,7
BelAir Airlines,International,Europe,Enplaned,545,2005,7
British Airways,International,Europe,Deplaned,20632,2005,7
British Airways,International,Europe,Enplaned,21686,2005,7
Cathay Pacific,International,Asia,Deplaned,11010,2005,7
Cathay Pacific,International,Asia,Enplaned,9628,2005,7
China Airlines,International,Asia,Deplaned,13638,2005,7
China Airlines,International,Asia,Enplaned,11255,2005,7
Delta Air Lines,Domestic,US,Deplaned,97510,2005,7
Delta Air Lines,Domestic,US,Enplaned,93791,2005,7
EVA Airways,International,Asia,Deplaned,14142,2005,7
EVA Airways,International,Asia,Enplaned,12132,2005,7
Frontier Airlines,Domestic,US,Deplaned,19234,2005,7
Frontier Airlines,Domestic,US,Enplaned,18368,2005,7
Hawaiian Airlines,Domestic,US,Deplaned,7579,2005,7
Hawaiian Airlines,Domestic,US,Enplaned,7658,2005,7
Horizon Air,Domestic,US,Deplaned,5284,2005,7
Horizon Air,Domestic,US,Enplaned,5257,2005,7
Icelandair (Inactive),International,Europe,Deplaned,4540,2005,7
Icelandair (Inactive),International,Europe,Enplaned,4341,2005,7
Independence Air,Domestic,US,Deplaned,10843,2005,7
Independence Air,Domestic,US,Enplaned,10967,2005,7
Japan Airlines,International,Asia,Deplaned,9195,2005,7
Japan Airlines,International,Asia,Enplaned,9086,2005,7
KLM Royal Dutch Airlines,International,Europe,Deplaned,9978,2005,7
KLM Royal Dutch Airlines,International,Europe,Enplaned,9587,2005,7
