Operating Airline,GEO Summary,GEO Region,Activity Type Code,Passenger Count,Year,Month,Airline_ID,Region,Website,Address_street,Address_City,Address_State_country,Founded in
ATA Airlines,Domestic,US,Deplaned,27271,2005,7,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Enplaned,29131,2005,7,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Thru / Transit,5415,2005,7,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Deplaned,27472,2005,8,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Enplaned,26535,2005,8,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Thru / Transit,5712,2005,8,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Deplaned,17341,2005,9,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Enplaned,18541,2005,9,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Thru / Transit,4412,2005,9,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Deplaned,17698,2005,10,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Enplaned,19983,2005,10,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Thru / Transit,5754,2005,10,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Deplaned,16855,2005,11,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Enplaned,17376,2005,11,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Thru / Transit,2911,2005,11,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,International,Canada,Deplaned,284,2005,11,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,International,Canada,Enplaned,284,2005,11,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Deplaned,15373,2005,12,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Enplaned,16790,2005,12,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Thru / Transit,2402,2005,12,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Deplaned,13010,2006,1,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Enplaned,12226,2006,1,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Thru / Transit,3316,2006,1,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Deplaned,9180,2006,2,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Enplaned,10323,2006,2,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Thru / Transit,3863,2006,2,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Deplaned,11583,2006,3,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Enplaned,11921,2006,3,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Thru / Transit,3870,2006,3,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Deplaned,11920,2006,4,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
ATA Airlines,Domestic,US,Enplaned,11890,2006,4,1,US,http://www.ata.com,W Washington ,Indianapolis,"Indiana, USA",1973
